Dates;Indice
2019-02;122.28
2019-01;110.41
2018-12;116.22
2018-11;112.07
2018-10;116.68
2018-09;117.29
2018-08;123.13
2018-07;113.7
2018-06;113.8
2018-05;112.53
2018-04;116.33
2018-03;115.07
2018-02;115.89
2018-01;110.95
2017-12;119.94
2017-11;113.65
2017-10;113.9
2017-09;111.2
2017-08;109.79
2017-07;111.1
2017-06;110.27
2017-05;113.81
2017-04;105.94
2017-03;106.44
2017-02;104.34
2017-01;106.3
2016-12;102.57
2016-11;102.61
2016-10;100.61
2016-09;102.22
2016-08;103.26
2016-07;102.13
2016-06;102.77
2016-05;102.7
2016-04;100.08
2016-03;100.48
2016-02;100.97
2016-01;107.06
2015-12;98.57
2015-11;100.65
2015-10;100.01
2015-09;101.72
2015-08;102.06
2015-07;98.39
2015-06;98.23
2015-05;98.98
2015-04;103.0
2015-03;99.61
2015-02;98.98
2015-01;99.81
2014-12;102.24
2014-11;106.12
2014-10;103.85
2014-09;97.49
2014-08;92.12
2014-07;99.48
2014-06;99.61
2014-05;96.23
2014-04;96.83
2014-03;96.62
2014-02;97.03
2014-01;96.52
2013-12;93.69
2013-11;93.54
2013-10;93.15
2013-09;95.8
2013-08;88.13
2013-07;95.43
2013-06;97.98
2013-05;96.24
2013-04;95.25
2013-03;94.93
2013-02;93.11
2013-01;91.41
2012-12;95.49
2012-11;89.57
2012-10;89.76
2012-09;89.82
2012-08;87.35
2012-07;88.78
2012-06;85.98
2012-05;88.46
2012-04;90.81
2012-03;89.78
2012-02;91.86
2012-01;86.16
2011-12;90.57
2011-11;90.84
2011-10;88.76
2011-09;89.03
2011-08;88.01
2011-07;88.14
2011-06;83.77
2011-05;93.33
2011-04;88.24
2011-03;88.2
2011-02;84.28
2011-01;86.54
